iter	RMSE
184	1.988442865e-06
185	1.839309643e-06
186	1.701361416e-06
187	1.573759306e-06
188	1.455727354e-06
189	1.346547798e-06
190	1.24555671e-06
191	1.152139955e-06
192	1.065729457e-06
193	9.857997441e-07
194	9.118647597e-07
195	8.434749006e-07
196	7.80214279e-07
197	7.21698207e-07
198	6.675708377e-07
199	6.175030229e-07
200	5.711902951e-07
201	5.283510198e-07
202	4.887246909e-07
203	4.520703385e-07
204	4.181650617e-07
205	3.868026823e-07
206	3.577924801e-07
207	3.309580414e-07
208	3.061361866e-07
209	2.831759716e-07
210	2.619377746e-07
211	2.422924403e-07
212	2.241205053e-07
213	2.073114658e-07
214	1.917631067e-07
215	1.773808727e-07
216	1.640773064e-07
217	1.517715091e-07
218	1.403886465e-07
219	1.298594974e-07
220	1.201200348e-07
221	1.111110315e-07
222	1.027777046e-07
223	9.506937815e-08
224	8.793917416e-08
225	8.13437353e-08
226	7.524295498e-08
227	6.95997322e-08
228	6.437975131e-08
229	5.955126881e-08
230	5.508492507e-08
231	5.095355604e-08
232	4.713204049e-08
233	4.359713657e-08
234	4.032735035e-08
235	3.73027973e-08
236	3.450508856e-08
237	3.191720666e-08
238	2.95234166e-08
239	2.730915938e-08
240	2.526097376e-08
241	2.336640037e-08
242	2.161392132e-08
243	1.999287846e-08
244	1.849341302e-08
245	1.710640873e-08
246	1.58234279e-08
247	1.463667232e-08
248	1.353892287e-08
249	1.252350401e-08
250	1.158424112e-08
251	1.071542144e-08
252	9.91176563e-09
253	9.168381609e-09
254	8.480753877e-09
255	7.844697336e-09
256	7.256346635e-09
257	6.712120637e-09
258	6.208711767e-09
259	5.743057585e-09
260	5.312326579e-09
261	4.913900398e-09
262	4.545356092e-09
263	4.20445545e-09
264	3.889120137e-09
265	3.597435239e-09
266	3.327627951e-09
267	3.07805692e-09
268	2.847201586e-09
269	2.633662177e-09
270	2.436138402e-09
271	2.253429443e-09
272	2.084423301e-09
273	1.928093241e-09
274	1.783487136e-09
275	1.649723913e-09
276	1.525993554e-09
277	1.411542883e-09
278	1.305675568e-09
279	1.207748568e-09
280	1.11716858e-09
281	1.03338138e-09
282	9.558789316e-10
283	8.841887222e-10
284	8.178737687e-10
285	7.565326143e-10
286	6.997922242e-10
287	6.47307985e-10
288	5.987601526e-10
289	5.538538517e-10
290	5.123155233e-10
291	4.738929249e-10
292	4.383515773e-10
293	4.054747649e-10
294	3.750635358e-10
295	3.469331489e-10
296	3.209130739e-10
297	2.968434387e-10
298	2.745785821e-10
299	2.539835009e-10
300	2.349338502e-10
301	2.173123903e-10
302	2.010125399e-10
303	1.859348231e-10
304	1.719904219e-10
305	1.590905185e-10
306	1.471569533e-10
307	1.361186719e-10
308	1.259081728e-10
309	1.164650598e-10
310	1.077289369e-10
311	9.965006598e-11
312	9.21751564e-11
313	8.526157558e-11
314	7.886669096e-11
315	7.295142268e-11
316	6.748024362e-11
317	6.241762662e-11
318	5.773514999e-11
319	5.340439202e-11
320	4.94004837e-11
321	4.569500334e-11
322	4.226663464e-11
323	3.909761404e-11
324	3.616662525e-11
325	3.3452352e-11
326	3.094413614e-11
327	2.862421411e-11
328	2.647837505e-11
329	2.44924081e-11
330	2.265565513e-11
331	2.095745799e-11
332	1.938715855e-11
333	1.793409865e-11
334	1.658762017e-11
335	1.534417038e-11
336	1.419309115e-11
337	1.312727704e-11
338	1.214317535e-11
339	1.123368065e-11
340	1.039168751e-11
341	9.613643215e-12
342	8.892442338e-12
343	8.224532166e-12
344	7.606359986e-12
345	7.034373084e-12
346	6.505018746e-12
347	6.018296972e-12
348	5.567102335e-12
349	5.147882121e-12
350	4.76063633e-12
351	4.401812248e-12
352	4.071409876e-12
353	3.7658765e-12
354	3.481659405e-12
355	3.218758593e-12
356	2.977174063e-12
357	2.753353101e-12
358	2.547295708e-12
359	2.355449169e-12
360	2.177813485e-12
361	2.014388656e-12
362	1.861621968e-12
363	1.723066134e-12
364	1.595168442e-12
365	1.474376177e-12
366	1.364242053e-12
367	1.261213356e-12
368	1.165290087e-12
369	1.076472245e-12
370	9.947598301e-13
371	9.201528428e-13
372	8.526512829e-13
373	7.887024367e-13
374	7.283063042e-13
375	6.75015599e-13
376	6.252776075e-13
377	5.790923296e-13
378	5.364597655e-13
379	4.97379915e-13
380	4.583000646e-13
381	4.227729278e-13
382	3.907985047e-13
383	3.623767952e-13
384	3.339550858e-13
385	3.090860901e-13
386	2.842170943e-13
387	2.629008122e-13
388	2.415845302e-13
389	2.238209618e-13
390	2.060573934e-13
391	1.918465387e-13
392	1.776356839e-13
393	1.634248292e-13
394	1.527666882e-13
395	1.421085472e-13
396	1.314504061e-13
397	1.207922651e-13
398	1.10134124e-13
399	1.030286967e-13
400	9.592326933e-14
401	8.881784197e-14
402	8.171241461e-14
403	7.460698725e-14
404	6.75015599e-14
405	6.394884622e-14
406	6.039613254e-14
407	5.684341886e-14
408	5.329070518e-14
409	4.97379915e-14
410	4.618527782e-14
411	4.263256415e-14
412	3.907985047e-14
413	3.552713679e-14
414	3.197442311e-14
415	2.842170943e-14
416	2.486899575e-14
417	2.131628207e-14
418	2.131628207e-14
419	2.131628207e-14
420	2.131628207e-14
421	2.131628207e-14
422	2.131628207e-14
423	2.131628207e-14
424	2.131628207e-14
425	2.131628207e-14
426	2.131628207e-14
427	2.131628207e-14
428	2.131628207e-14
429	2.131628207e-14
430	2.131628207e-14
431	2.131628207e-14
432	2.131628207e-14
433	2.131628207e-14
434	2.131628207e-14
435	2.131628207e-14
436	2.131628207e-14
437	2.131628207e-14
438	2.131628207e-14
439	2.131628207e-14
440	2.131628207e-14
441	2.131628207e-14
442	2.131628207e-14
443	2.131628207e-14
444	2.131628207e-14
445	2.131628207e-14
446	2.131628207e-14
447	2.131628207e-14
448	2.131628207e-14
449	2.131628207e-14
450	2.131628207e-14
451	2.131628207e-14
452	2.131628207e-14
453	2.131628207e-14
454	2.131628207e-14
455	2.131628207e-14
456	2.131628207e-14
457	2.131628207e-14
458	2.131628207e-14
459	2.131628207e-14
460	2.131628207e-14
461	2.131628207e-14
462	2.131628207e-14
463	2.131628207e-14
464	2.131628207e-14
465	2.131628207e-14
466	2.131628207e-14
467	2.131628207e-14
468	2.131628207e-14
469	2.131628207e-14
470	2.131628207e-14
471	2.131628207e-14
472	2.131628207e-14
473	2.131628207e-14
474	2.131628207e-14
475	2.131628207e-14
476	2.131628207e-14
477	2.131628207e-14
478	2.131628207e-14
479	2.131628207e-14
480	2.131628207e-14
481	2.131628207e-14
482	2.131628207e-14
483	2.131628207e-14
484	2.131628207e-14
485	2.131628207e-14
486	2.131628207e-14
487	2.131628207e-14
488	2.131628207e-14
489	2.131628207e-14
490	2.131628207e-14
491	2.131628207e-14
492	2.131628207e-14
493	2.131628207e-14
494	2.131628207e-14
495	2.131628207e-14
496	2.131628207e-14
497	2.131628207e-14
498	2.131628207e-14
499	2.131628207e-14
500	2.131628207e-14
501	2.131628207e-14
502	2.131628207e-14
503	2.131628207e-14
504	2.131628207e-14
505	2.131628207e-14
506	2.131628207e-14
507	2.131628207e-14
508	2.131628207e-14
509	2.131628207e-14
510	2.131628207e-14
511	2.131628207e-14
512	2.131628207e-14
513	2.131628207e-14
514	2.131628207e-14
515	2.131628207e-14
516	2.131628207e-14
517	2.131628207e-14
518	2.131628207e-14
519	2.131628207e-14
520	2.131628207e-14
521	2.131628207e-14
522	2.131628207e-14
523	2.131628207e-14
524	2.131628207e-14
525	2.131628207e-14
526	2.131628207e-14
527	2.131628207e-14
528	2.131628207e-14
529	2.131628207e-14
530	2.131628207e-14
531	2.131628207e-14
532	2.131628207e-14
533	2.131628207e-14
534	2.131628207e-14
535	2.131628207e-14
536	2.131628207e-14
537	2.131628207e-14
538	2.131628207e-14
539	2.131628207e-14
540	2.131628207e-14
541	2.131628207e-14
542	2.131628207e-14
543	2.131628207e-14
544	2.131628207e-14
545	2.131628207e-14
546	2.131628207e-14
547	2.131628207e-14
548	2.131628207e-14
549	2.131628207e-14
550	2.131628207e-14
551	2.131628207e-14
552	2.131628207e-14
553	2.131628207e-14
554	2.131628207e-14
555	2.131628207e-14
556	2.131628207e-14
557	2.131628207e-14
558	2.131628207e-14
559	2.131628207e-14
560	2.131628207e-14
561	2.131628207e-14
562	2.131628207e-14
563	2.131628207e-14
564	2.131628207e-14
565	2.131628207e-14
566	2.131628207e-14
567	2.131628207e-14
568	2.131628207e-14
569	2.131628207e-14
570	2.131628207e-14
571	2.131628207e-14
572	2.131628207e-14
573	2.131628207e-14
574	2.131628207e-14
575	2.131628207e-14
576	2.131628207e-14
577	2.131628207e-14
578	2.131628207e-14
579	2.131628207e-14
580	2.131628207e-14
581	2.131628207e-14
582	2.131628207e-14
583	2.131628207e-14
584	2.131628207e-14
585	2.131628207e-14
586	2.131628207e-14
587	2.131628207e-14
588	2.131628207e-14
589	2.131628207e-14
590	2.131628207e-14
591	2.131628207e-14
592	2.131628207e-14
593	2.131628207e-14
594	2.131628207e-14
595	2.131628207e-14
596	2.131628207e-14
597	2.131628207e-14
598	2.131628207e-14
599	2.131628207e-14
600	2.131628207e-14
601	2.131628207e-14
602	2.131628207e-14
603	2.131628207e-14
604	2.131628207e-14
605	2.131628207e-14
606	2.131628207e-14
607	2.131628207e-14
608	2.131628207e-14
609	2.131628207e-14
610	2.131628207e-14
611	2.131628207e-14
612	2.131628207e-14
613	2.131628207e-14
614	2.131628207e-14
615	2.131628207e-14
616	2.131628207e-14
617	2.131628207e-14
618	2.131628207e-14
619	2.131628207e-14
620	2.131628207e-14
621	2.131628207e-14
622	2.131628207e-14
623	2.131628207e-14
624	2.131628207e-14
625	2.131628207e-14
626	2.131628207e-14
627	2.131628207e-14
628	2.131628207e-14
629	2.131628207e-14
630	2.131628207e-14
631	2.131628207e-14
632	2.131628207e-14
633	2.131628207e-14
634	2.131628207e-14
635	2.131628207e-14
636	2.131628207e-14
637	2.131628207e-14
638	2.131628207e-14
639	2.131628207e-14
640	2.131628207e-14
641	2.131628207e-14
642	2.131628207e-14
643	2.131628207e-14
644	2.131628207e-14
645	2.131628207e-14
646	2.131628207e-14
647	2.131628207e-14
648	2.131628207e-14
649	2.131628207e-14
650	2.131628207e-14
651	2.131628207e-14
652	2.131628207e-14
653	2.131628207e-14
654	2.131628207e-14
655	2.131628207e-14
656	2.131628207e-14
657	2.131628207e-14
658	2.131628207e-14
659	2.131628207e-14
660	2.131628207e-14
661	2.131628207e-14
662	2.131628207e-14
663	2.131628207e-14
664	2.131628207e-14
665	2.131628207e-14
666	2.131628207e-14
667	2.131628207e-14
668	2.131628207e-14
669	2.131628207e-14
670	2.131628207e-14
671	2.131628207e-14
672	2.131628207e-14
673	2.131628207e-14
674	2.131628207e-14
675	2.131628207e-14
676	2.131628207e-14
677	2.131628207e-14
678	2.131628207e-14
679	2.131628207e-14
680	2.131628207e-14
681	2.131628207e-14
682	2.131628207e-14
683	2.131628207e-14
684	2.131628207e-14
685	2.131628207e-14
686	2.131628207e-14
687	2.131628207e-14
688	2.131628207e-14
689	2.131628207e-14
690	2.131628207e-14
691	2.131628207e-14
692	2.131628207e-14
693	2.131628207e-14
694	2.131628207e-14
695	2.131628207e-14
696	2.131628207e-14
697	2.131628207e-14
698	2.131628207e-14
699	2.131628207e-14
700	2.131628207e-14
701	2.131628207e-14
702	2.131628207e-14
703	2.131628207e-14
704	2.131628207e-14
705	2.131628207e-14
706	2.131628207e-14
707	2.131628207e-14
708	2.131628207e-14
709	2.131628207e-14
710	2.131628207e-14
711	2.131628207e-14
712	2.131628207e-14
713	2.131628207e-14
714	2.131628207e-14
715	2.131628207e-14
716	2.131628207e-14
717	2.131628207e-14
718	2.131628207e-14
719	2.131628207e-14
720	2.131628207e-14
721	2.131628207e-14
722	2.131628207e-14
723	2.131628207e-14
724	2.131628207e-14
725	2.131628207e-14
726	2.131628207e-14
727	2.131628207e-14
728	2.131628207e-14
729	2.131628207e-14
730	2.131628207e-14
731	2.131628207e-14
732	2.131628207e-14
733	2.131628207e-14
734	2.131628207e-14
735	2.131628207e-14
736	2.131628207e-14
737	2.131628207e-14
738	2.131628207e-14
739	2.131628207e-14
740	2.131628207e-14
741	2.131628207e-14
742	2.131628207e-14
743	2.131628207e-14
744	2.131628207e-14
745	2.131628207e-14
746	2.131628207e-14
747	2.131628207e-14
748	2.131628207e-14
749	2.131628207e-14
750	2.131628207e-14
751	2.131628207e-14
752	2.131628207e-14
753	2.131628207e-14
754	2.131628207e-14
755	2.131628207e-14
756	2.131628207e-14
757	2.131628207e-14
758	2.131628207e-14
759	2.131628207e-14
760	2.131628207e-14
761	2.131628207e-14
762	2.131628207e-14
763	2.131628207e-14
764	2.131628207e-14
765	2.131628207e-14
766	2.131628207e-14
767	2.131628207e-14
768	2.131628207e-14
769	2.131628207e-14
770	2.131628207e-14
771	2.131628207e-14
772	2.131628207e-14
773	2.131628207e-14
774	2.131628207e-14
775	2.131628207e-14
776	2.131628207e-14
777	2.131628207e-14
778	2.131628207e-14
779	2.131628207e-14
780	2.131628207e-14
781	2.131628207e-14
782	2.131628207e-14
783	2.131628207e-14
784	2.131628207e-14
785	2.131628207e-14
786	2.131628207e-14
787	2.131628207e-14
788	2.131628207e-14
789	2.131628207e-14
790	2.131628207e-14
791	2.131628207e-14
792	2.131628207e-14
793	2.131628207e-14
794	2.131628207e-14
795	2.131628207e-14
796	2.131628207e-14
797	2.131628207e-14
798	2.131628207e-14
799	2.131628207e-14
800	2.131628207e-14
801	2.131628207e-14
802	2.131628207e-14
803	2.131628207e-14
804	2.131628207e-14
805	2.131628207e-14
806	2.131628207e-14
807	2.131628207e-14
808	2.131628207e-14
809	2.131628207e-14
810	2.131628207e-14
811	2.131628207e-14
812	2.131628207e-14
813	2.131628207e-14
814	2.131628207e-14
815	2.131628207e-14
816	2.131628207e-14
817	2.131628207e-14
818	2.131628207e-14
819	2.131628207e-14
820	2.131628207e-14
821	2.131628207e-14
822	2.131628207e-14
823	2.131628207e-14
824	2.131628207e-14
825	2.131628207e-14
826	2.131628207e-14
827	2.131628207e-14
828	2.131628207e-14
829	2.131628207e-14
830	2.131628207e-14
831	2.131628207e-14
832	2.131628207e-14
833	2.131628207e-14
834	2.131628207e-14
835	2.131628207e-14
836	2.131628207e-14
837	2.131628207e-14
838	2.131628207e-14
839	2.131628207e-14
840	2.131628207e-14
841	2.131628207e-14
842	2.131628207e-14
843	2.131628207e-14
844	2.131628207e-14
845	2.131628207e-14
846	2.131628207e-14
847	2.131628207e-14
848	2.131628207e-14
849	2.131628207e-14
850	2.131628207e-14
851	2.131628207e-14
852	2.131628207e-14
853	2.131628207e-14
854	2.131628207e-14
855	2.131628207e-14
856	2.131628207e-14
857	2.131628207e-14
858	2.131628207e-14
859	2.131628207e-14
860	2.131628207e-14
861	2.131628207e-14
862	2.131628207e-14
863	2.131628207e-14
864	2.131628207e-14
865	2.131628207e-14
866	2.131628207e-14
867	2.131628207e-14
868	2.131628207e-14
869	2.131628207e-14
870	2.131628207e-14
871	2.131628207e-14
872	2.131628207e-14
873	2.131628207e-14
874	2.131628207e-14
875	2.131628207e-14
876	2.131628207e-14
877	2.131628207e-14
878	2.131628207e-14
879	2.131628207e-14
880	2.131628207e-14
881	2.131628207e-14
882	2.131628207e-14
883	2.131628207e-14
884	2.131628207e-14
885	2.131628207e-14
886	2.131628207e-14
887	2.131628207e-14
888	2.131628207e-14
889	2.131628207e-14
890	2.131628207e-14
891	2.131628207e-14
892	2.131628207e-14
893	2.131628207e-14
894	2.131628207e-14
895	2.131628207e-14
896	2.131628207e-14
897	2.131628207e-14
898	2.131628207e-14
899	2.131628207e-14
900	2.131628207e-14
901	2.131628207e-14
902	2.131628207e-14
903	2.131628207e-14
904	2.131628207e-14
905	2.131628207e-14
906	2.131628207e-14
907	2.131628207e-14
908	2.131628207e-14
909	2.131628207e-14
910	2.131628207e-14
911	2.131628207e-14
912	2.131628207e-14
913	2.131628207e-14
914	2.131628207e-14
915	2.131628207e-14
916	2.131628207e-14
917	2.131628207e-14
918	2.131628207e-14
919	2.131628207e-14
920	2.131628207e-14
921	2.131628207e-14
922	2.131628207e-14
923	2.131628207e-14
924	2.131628207e-14
925	2.131628207e-14
926	2.131628207e-14
927	2.131628207e-14
928	2.131628207e-14
929	2.131628207e-14
930	2.131628207e-14
931	2.131628207e-14
932	2.131628207e-14
933	2.131628207e-14
934	2.131628207e-14
935	2.131628207e-14
936	2.131628207e-14
937	2.131628207e-14
938	2.131628207e-14
939	2.131628207e-14
940	2.131628207e-14
941	2.131628207e-14
942	2.131628207e-14
943	2.131628207e-14
944	2.131628207e-14
945	2.131628207e-14
946	2.131628207e-14
947	2.131628207e-14
948	2.131628207e-14
949	2.131628207e-14
950	2.131628207e-14
951	2.131628207e-14
952	2.131628207e-14
953	2.131628207e-14
954	2.131628207e-14
955	2.131628207e-14
956	2.131628207e-14
957	2.131628207e-14
958	2.131628207e-14
959	2.131628207e-14
960	2.131628207e-14
961	2.131628207e-14
962	2.131628207e-14
963	2.131628207e-14
964	2.131628207e-14
965	2.131628207e-14
966	2.131628207e-14
967	2.131628207e-14
968	2.131628207e-14
969	2.131628207e-14
970	2.131628207e-14
971	2.131628207e-14
972	2.131628207e-14
973	2.131628207e-14
974	2.131628207e-14
975	2.131628207e-14
976	2.131628207e-14
977	2.131628207e-14
978	2.131628207e-14
979	2.131628207e-14
980	2.131628207e-14
981	2.131628207e-14
982	2.131628207e-14
983	2.131628207e-14
984	2.131628207e-14
985	2.131628207e-14
986	2.131628207e-14
987	2.131628207e-14
988	2.131628207e-14
989	2.131628207e-14
990	2.131628207e-14
991	2.131628207e-14
992	2.131628207e-14
993	2.131628207e-14
994	2.131628207e-14
995	2.131628207e-14
996	2.131628207e-14
997	2.131628207e-14
998	2.131628207e-14
999	2.131628207e-14
